Project,Package,Smell,Description
camel-language-server,com.github.cameltooling.lsp.internal,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.github.cameltooling.lsp.internal.telemetry; com.github.cameltooling.lsp.internal.catalog.util; com.github.cameltooling.lsp.internal.completion
camel-language-server,com.github.cameltooling.lsp.internal,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AbstractLanguageServer; CamelLanguageServer; CamelTextDocumentService; Runner; AbstractCamelLanguageServerTest; CamelCatalogRuntimeProviderTest; CamelCatalogVersionTest; CamelExtraComponentTest; CamelLanguageServerTest; CamelTextDocumentServiceTest; RunnerHelpTest; RunnerStandardIOTest; RunnerWebSocketTest]; [AbstractLanguageServer.CamelServerRunnable]; [CamelWorkspaceService]; [AbstractCamelLanguageServerTest.DummyLanguageClient]; [CamelLanguageServerRobustnessTest]; [CamelLanguageServerTest.Yaml]; [DummyConstants]; [RangeChecker]; [TestExtraComponentUtil]. LCC (Lack of Component Cohesion) = 0.43
camel-language-server,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 6.3. All the dependencies among components: from: com.github.cameltooling.lsp.internal to: com.github.cameltooling.lsp.internal.settings; from: com.github.cameltooling.lsp.internal to: com.github.cameltooling.lsp.internal.telemetry; from: com.github.cameltooling.lsp.internal to: com.github.cameltooling.lsp.internal.catalog.util; from: com.github.cameltooling.lsp.internal to: com.github.cameltooling.lsp.internal.catalog.runtimeprovider; from: com.github.cameltooling.lsp.internal to: com.github.cameltooling.lsp.internal.websocket; from: com.github.cameltooling.lsp.internal to: com.github.cameltooling.lsp.internal.util; from: com.github.cameltooling.lsp.internal to: com.github.cameltooling.lsp.internal.completion; from: com.github.cameltooling.lsp.internal.catalog.diagnostic to: com.github.cameltooling.lsp.internal.catalog.util; from: com.github.cameltooling.lsp.internal.catalog.util to: com.github.cameltooling.lsp.internal.parser; from: com.github.cameltooling.lsp.internal.catalog.util to: com.github.cameltooling.lsp.internal.catalog.model; from: com.github.cameltooling.lsp.internal.codeactions to: com.github.cameltooling.lsp.internal; from: com.github.cameltooling.lsp.internal.codeactions to: com.github.cameltooling.lsp.internal.parser; from: com.github.cameltooling.lsp.internal.codeactions to: com.github.cameltooling.lsp.internal.settings; from: com.github.cameltooling.lsp.internal.codeactions to: com.github.cameltooling.lsp.internal.catalog.util; from: com.github.cameltooling.lsp.internal.codeactions to: com.github.cameltooling.lsp.internal.modelinemodel; from: com.github.cameltooling.lsp.internal.codeactions to: com.github.cameltooling.lsp.internal.completion.modeline; from: com.github.cameltooling.lsp.internal.codeactions to: com.github.cameltooling.lsp.internal.diagnostic; from: com.github.cameltooling.lsp.internal.completion to: com.github.cameltooling.lsp.internal.instancemodel.propertiesfile; from: com.github.cameltooling.lsp.internal.completion to: com.github.cameltooling.lsp.internal.catalog.util; from: com.github.cameltooling.lsp.internal.completion to: com.github.cameltooling.lsp.internal.catalog.model; from: com.github.cameltooling.lsp.internal.completion to: com.github.cameltooling.lsp.internal.instancemodel; from: com.github.cameltooling.lsp.internal.completion to: com.github.cameltooling.lsp.internal.parser; from: com.github.cameltooling.lsp.internal.completion to: com.github.cameltooling.lsp.internal.settings; from: com.github.cameltooling.lsp.internal.completion to: com.github.cameltooling.lsp.internal.kubernetes; from: com.github.cameltooling.lsp.internal.completion to: com.github.cameltooling.lsp.internal.completion.traits; from: com.github.cameltooling.lsp.internal.completion to: com.github.cameltooling.lsp.internal; from: com.github.cameltooling.lsp.internal.completion to: com.github.cameltooling.lsp.internal.util; from: com.github.cameltooling.lsp.internal.completion.modeline to: com.github.cameltooling.lsp.internal.parser; from: com.github.cameltooling.lsp.internal.completion.modeline to: com.github.cameltooling.lsp.internal.completion; from: com.github.cameltooling.lsp.internal.completion.modeline to: com.github.cameltooling.lsp.internal; from: com.github.cameltooling.lsp.internal.completion.traits to: com.github.cameltooling.lsp.internal.modelinemodel; from: com.github.cameltooling.lsp.internal.completion.traits to: com.github.cameltooling.lsp.internal.completion; from: com.github.cameltooling.lsp.internal.definition to: com.github.cameltooling.lsp.internal.parser; from: com.github.cameltooling.lsp.internal.definition to: com.github.cameltooling.lsp.internal.instancemodel; from: com.github.cameltooling.lsp.internal.definition to: com.github.cameltooling.lsp.internal; from: com.github.cameltooling.lsp.internal.diagnostic to: com.github.cameltooling.lsp.internal.parser; from: com.github.cameltooling.lsp.internal.diagnostic to: com.github.cameltooling.lsp.internal.modelinemodel; from: com.github.cameltooling.lsp.internal.diagnostic to: com.github.cameltooling.lsp.internal.instancemodel; from: com.github.cameltooling.lsp.internal.diagnostic to: com.github.cameltooling.lsp.internal; from: com.github.cameltooling.lsp.internal.diagnostic to: com.github.cameltooling.lsp.internal.catalog.diagnostic; from: com.github.cameltooling.lsp.internal.diagnostic to: com.github.cameltooling.lsp.internal.util; from: com.github.cameltooling.lsp.internal.documentsymbol to: com.github.cameltooling.lsp.internal.catalog.util; from: com.github.cameltooling.lsp.internal.documentsymbol to: com.github.cameltooling.lsp.internal.parser; from: com.github.cameltooling.lsp.internal.documentsymbol to: com.github.cameltooling.lsp.internal; from: com.github.cameltooling.lsp.internal.folding to: com.github.cameltooling.lsp.internal.catalog.util; from: com.github.cameltooling.lsp.internal.folding to: com.github.cameltooling.lsp.internal; from: com.github.cameltooling.lsp.internal.hover to: com.github.cameltooling.lsp.internal.modelinemodel; from: com.github.cameltooling.lsp.internal.hover to: com.github.cameltooling.lsp.internal.catalog.util; from: com.github.cameltooling.lsp.internal.hover to: com.github.cameltooling.lsp.internal.parser; from: com.github.cameltooling.lsp.internal.hover to: com.github.cameltooling.lsp.internal.instancemodel; from: com.github.cameltooling.lsp.internal.hover to: com.github.cameltooling.lsp.internal.catalog.model; from: com.github.cameltooling.lsp.internal.hover to: com.github.cameltooling.lsp.internal; from: com.github.cameltooling.lsp.internal.hover to: com.github.cameltooling.lsp.internal.completion; from: com.github.cameltooling.lsp.internal.hover to: com.github.cameltooling.lsp.internal.util; from: com.github.cameltooling.lsp.internal.instancemodel to: com.github.cameltooling.lsp.internal.settings; from: com.github.cameltooling.lsp.internal.instancemodel to: com.github.cameltooling.lsp.internal.catalog.util; from: com.github.cameltooling.lsp.internal.instancemodel to: com.github.cameltooling.lsp.internal.catalog.model; from: com.github.cameltooling.lsp.internal.instancemodel to: com.github.cameltooling.lsp.internal.kubernetes; from: com.github.cameltooling.lsp.internal.instancemodel to: com.github.cameltooling.lsp.internal.completion; from: com.github.cameltooling.lsp.internal.instancemodel.propertiesfile to: com.github.cameltooling.lsp.internal.catalog.util; from: com.github.cameltooling.lsp.internal.instancemodel.propertiesfile to: com.github.cameltooling.lsp.internal.catalog.model; from: com.github.cameltooling.lsp.internal.instancemodel.propertiesfile to: com.github.cameltooling.lsp.internal.instancemodel; from: com.github.cameltooling.lsp.internal.instancemodel.propertiesfile to: com.github.cameltooling.lsp.internal.completion; from: com.github.cameltooling.lsp.internal.instancemodel.propertiesfile to: com.github.cameltooling.lsp.internal.settings; from: com.github.cameltooling.lsp.internal.instancemodel.propertiesfile to: com.github.cameltooling.lsp.internal.diagnostic; from: com.github.cameltooling.lsp.internal.instancemodel.propertiesfile to: com.github.cameltooling.lsp.internal; from: com.github.cameltooling.lsp.internal.modelinemodel to: com.github.cameltooling.lsp.internal.parser; from: com.github.cameltooling.lsp.internal.modelinemodel to: com.github.cameltooling.lsp.internal.completion.modeline; from: com.github.cameltooling.lsp.internal.modelinemodel to: com.github.cameltooling.lsp.internal.completion; from: com.github.cameltooling.lsp.internal.modelinemodel to: com.github.cameltooling.lsp.internal.catalog.util; from: com.github.cameltooling.lsp.internal.modelinemodel to: com.github.cameltooling.lsp.internal.instancemodel.propertiesfile; from: com.github.cameltooling.lsp.internal.modelinemodel to: com.github.cameltooling.lsp.internal.completion.traits; from: com.github.cameltooling.lsp.internal.modelinemodel to: com.github.cameltooling.lsp.internal; from: com.github.cameltooling.lsp.internal.parser to: com.github.cameltooling.lsp.internal.completion.modeline; from: com.github.cameltooling.lsp.internal.parser to: com.github.cameltooling.lsp.internal.instancemodel; from: com.github.cameltooling.lsp.internal.parser to: com.github.cameltooling.lsp.internal.parser.fileparserhelper; from: com.github.cameltooling.lsp.internal.parser to: com.github.cameltooling.lsp.internal.util; from: com.github.cameltooling.lsp.internal.parser to: com.github.cameltooling.lsp.internal; from: com.github.cameltooling.lsp.internal.parser.fileparserhelper to: com.github.cameltooling.lsp.internal.parser; from: com.github.cameltooling.lsp.internal.references to: com.github.cameltooling.lsp.internal.parser; from: com.github.cameltooling.lsp.internal.references to: com.github.cameltooling.lsp.internal; from: com.github.cameltooling.lsp.internal.references to: com.github.cameltooling.lsp.internal.instancemodel; from: com.github.cameltooling.lsp.internal.settings to: com.github.cameltooling.lsp.internal; from: com.github.cameltooling.lsp.internal.telemetry to: com.github.cameltooling.lsp.internal.util; from: com.github.cameltooling.lsp.internal.completion.camelapplicationproperties to: com.github.cameltooling.lsp.internal.
camel-language-server,com.github.cameltooling.lsp.internal,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.github.cameltooling.lsp.internal; com.github.cameltooling.lsp.internal.settings; com.github.cameltooling.lsp.internal
camel-language-server,com.github.cameltooling.lsp.internal,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.github.cameltooling.lsp.internal; com.github.cameltooling.lsp.internal.completion; com.github.cameltooling.lsp.internal
camel-language-server,com.github.cameltooling.lsp.internal,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.github.cameltooling.lsp.internal; com.github.cameltooling.lsp.internal.catalog.util; com.github.cameltooling.lsp.internal.parser; com.github.cameltooling.lsp.internal
camel-language-server,com.github.cameltooling.lsp.internal.catalog.diagnostic,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BooleanErrorMsg; CamelDiagnosticMessage; IntegerErrorMsg; InvalidDurationErrorMsg; LenientOptionMsg; NotConsumerOnlyErrorMsg; NotProducerOnlyErrorMsg; NumberErrorMsg; ReferenceErrorMsg; RequiredErrorMsg; UnknownComponentErrorMsg; UnknownErrorMsg]; [EnumErrorMsg]; [BooleanErrorMsgTest]; [EnumErrorMsgTest]; [IntegerErrorMsgTest]; [NumberErrorMsgTest]; [ReferenceErrorMsgTest]. LCC (Lack of Component Cohesion) = 0.39
camel-language-server,com.github.cameltooling.lsp.internal.catalog.util,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.github.cameltooling.lsp.internal.parser
camel-language-server,com.github.cameltooling.lsp.internal.catalog.util,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CamelNodeDetailsUtils]; [KameletsCatalogManager]; [ModelHelper; ModelHelperApisTest; ModelHelperTest]; [StringUtils; StringUtilsTest]. LCC (Lack of Component Cohesion) = 0.57
camel-language-server,com.github.cameltooling.lsp.internal.codeactions,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AbstractQuickfix; InvalidEnumQuickfix; UnknownPropertyQuickfix]; [CodeActionProcessor]; [ConvertCamelKPropertyFileModelineRefactorAction; CamelKPropertyFileModelineDeprecatedRefactorTest]; [AbstractQuickFixTest; InvalidEnumQuickfixTest; UnknownPropertyQuickfixTest]. LCC (Lack of Component Cohesion) = 0.44
