Project,Package,Class,Method,Smell,Description,Method start line no,File
camel-language-server,com.github.cameltooling.lsp.internal,CamelTextDocumentService,completion,Long Statement,The length of the statement "return new CamelPropertiesCompletionProcessor(textDocumentItem`getCamelCatalog()).getCompletions(completionParams.getPosition()`getSettingsManager()`getKameletsCatalogManager()).thenApply(Either::forLeft);" is 205.,157,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\CamelTextDocumentService.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelTextDocumentService,completion,Long Statement,The length of the statement "return new CamelKModelineCompletionprocessor(textDocumentItem`getCamelCatalog()).getCompletions(completionParams.getPosition()).thenApply(Either::forLeft);" is 155.,157,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\CamelTextDocumentService.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelTextDocumentService,completion,Long Statement,The length of the statement "return new PomCompletionProcessor(textDocumentItem`getCamelCatalog()).getCompletions(completionParams.getPosition()).thenApply(Either::forLeft);" is 144.,157,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\CamelTextDocumentService.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelTextDocumentService,completion,Long Statement,The length of the statement "return new VSCodeTasksCompletionProcessor(textDocumentItem).getCompletions(completionParams.getPosition()).thenApply(Either::forLeft);" is 134.,157,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\CamelTextDocumentService.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelTextDocumentService,completion,Long Statement,The length of the statement "return new CamelEndpointCompletionProcessor(textDocumentItem`getCamelCatalog()`getKameletsCatalogManager()).getCompletions(completionParams.getPosition()`getSettingsManager()).thenApply(Either::forLeft);" is 203.,157,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\CamelTextDocumentService.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelTextDocumentService,hover,Long Statement,The length of the statement "return new CamelPropertiesFileHoverProcessor(textDocumentItem).getHover(hoverParams.getPosition()`getCamelCatalog()`getKameletsCatalogManager());" is 145.,189,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\CamelTextDocumentService.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelTextDocumentService,hover,Long Statement,The length of the statement "return new CamelURIHoverProcessor(textDocumentItem`getCamelCatalog()`getKameletsCatalogManager()).getHover(hoverParams.getPosition());" is 134.,189,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\CamelTextDocumentService.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelTextDocumentService,references,Long Statement,The length of the statement "return new ReferencesProcessor(this`openedDocuments.get(params.getTextDocument().getUri())).getReferences(params.getPosition());" is 128.,217,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\CamelTextDocumentService.java
camel-language-server,com.github.cameltooling.lsp.internal,AbstractCamelLanguageServerTest,createExpectedTimerCompletionItem,Long Identifier,The length of the identifier expectedTimerCompletioncompletionItem is 37.,97,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\AbstractCamelLanguageServerTest.java
camel-language-server,com.github.cameltooling.lsp.internal,AbstractCamelLanguageServerTest,createExpectedTimerCompletionItem,Long Statement,The length of the statement "expectedTimerCompletioncompletionItem.setTextEdit(Either.forLeft(new TextEdit(new Range(new Position(lineStart`characterStart)`new Position(lineEnd`characterEnd))`"timer:timerName")));" is 184.,97,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\AbstractCamelLanguageServerTest.java
camel-language-server,com.github.cameltooling.lsp.internal,AbstractCamelLanguageServerTest,createExpectedAhcCompletionItemForVersion3_11_5,Long Identifier,The length of the identifier expectedAhcCompletioncompletionItem is 35.,105,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\AbstractCamelLanguageServerTest.java
camel-language-server,com.github.cameltooling.lsp.internal,AbstractCamelLanguageServerTest,createExpectedAhcCompletionItemForVersion3_11_5,Long Statement,The length of the statement "expectedAhcCompletioncompletionItem.setTextEdit(Either.forLeft(new TextEdit(new Range(new Position(lineStart`characterStart)`new Position(lineEnd`characterEnd))`"ahc:httpUri")));" is 178.,105,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\AbstractCamelLanguageServerTest.java
camel-language-server,com.github.cameltooling.lsp.internal,AbstractCamelLanguageServerTest,createExpectedAhcCompletionItemForVersionPriorTo33,Long Identifier,The length of the identifier expectedAhcCompletioncompletionItem is 35.,113,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\AbstractCamelLanguageServerTest.java
camel-language-server,com.github.cameltooling.lsp.internal,AbstractCamelLanguageServerTest,createExpectedAhcCompletionItemForVersionPriorTo33,Long Statement,The length of the statement "CompletionItem expectedAhcCompletioncompletionItem=createExpectedAhcCompletionItemForVersion3_11_5(lineStart`characterStart`lineEnd`characterEnd);" is 146.,113,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\AbstractCamelLanguageServerTest.java
camel-language-server,com.github.cameltooling.lsp.internal,AbstractCamelLanguageServerTest,initializeLanguageServerWithFileName,Long Statement,The length of the statement "return initializeLanguageServer(filename.substring(filename.lastIndexOf('.')`filename.length())`createTestTextDocumentWithFilename(text`filename));" is 147.,151,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\AbstractCamelLanguageServerTest.java
camel-language-server,com.github.cameltooling.lsp.internal,AbstractCamelLanguageServerTest,initializeLanguageServer,Long Statement,The length of the statement "return initializeLanguageServer(getExtensionByStringHandling(camelFile.getName())`new TextDocumentItem(camelFile.toURI().toString()`CamelLanguageServer.LANGUAGE_ID`0`Files.readString(camelFile.toPath())));" is 205.,209,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\AbstractCamelLanguageServerTest.java
camel-language-server,com.github.cameltooling.lsp.internal,AbstractCamelLanguageServerTest,createFolderWithFile,Long Identifier,The length of the identifier aPropertiesFileInSiblingFolder is 30.,286,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\AbstractCamelLanguageServerTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelCatalogRuntimeProviderTest,testRuntimeProviderWithProvidedValue,Long Statement,The length of the statement "RuntimeProvider usedRuntimeProvider=camelLanguageServer.getTextDocumentService().getCamelCatalog().get().getRuntimeProvider();" is 126.,70,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelCatalogRuntimeProviderTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelCatalogRuntimeProviderTest,testRuntimeProviderWithProvidedValue,Long Statement,The length of the statement "CompletableFuture<Either<List<CompletionItem>`CompletionList>> camelUriCompletion=getCompletionFor(camelLanguageServer`new Position(2`" uri: \"".length()));" is 156.,70,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelCatalogRuntimeProviderTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelCatalogRuntimeProviderTest,testRuntimeProviderWithProvidedValue,Long Statement,The length of the statement "CompletableFuture<Either<List<CompletionItem>`CompletionList>> dependencyCompletion=getCompletionFor(camelLanguageServer`new Position(0`"# camel-k: dependency=".length()));" is 172.,70,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelCatalogRuntimeProviderTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelCatalogRuntimeProviderTest,testRuntimeProviderWithProvidedValue,Magic Number,The method contains a magic number: 2,70,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelCatalogRuntimeProviderTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelCatalogVersionTest,testUpdateOfConfig,Long Statement,The length of the statement "assertThat(camelLanguageServer.getTextDocumentService().getCamelCatalog().get().getLoadedVersion()).isEqualTo(camelCatalogVersion);" is 131.,59,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelCatalogVersionTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelCatalogVersionTest,basicCompletionCheckFor3_11_5,Magic Number,The method contains a magic number: 11,105,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelCatalogVersionTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelCatalogVersionTest,basicCompletionCheckFor3_11_5,Magic Number,The method contains a magic number: 11,105,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelCatalogVersionTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelCatalogVersionTest,basicCompletionCheck,Magic Number,The method contains a magic number: 11,109,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelCatalogVersionTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelCatalogVersionTest,basicCompletionCheck,Magic Number,The method contains a magic number: 11,109,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelCatalogVersionTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelCatalogVersionTest,basicCompletionCheckBefore3_3,Magic Number,The method contains a magic number: 11,113,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelCatalogVersionTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelCatalogVersionTest,basicCompletionCheckBefore3_3,Magic Number,The method contains a magic number: 11,113,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelCatalogVersionTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelCatalogVersionTest,basicCompletionCheck,Long Statement,The length of the statement "CompletableFuture<Either<List<CompletionItem>`CompletionList>> completions=getCompletionFor(camelLanguageServer`new Position(0`11));" is 132.,117,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelCatalogVersionTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelCatalogVersionTest,basicCompletionCheck,Magic Number,The method contains a magic number: 11,117,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelCatalogVersionTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelCatalogVersionTest,checkLoadedCamelCatalogVersion,Long Statement,The length of the statement "assertThat(camelLanguageServer.getTextDocumentService().getCamelCatalog().get().getLoadedVersion()).isEqualTo(camelCatalogVersion);" is 131.,137,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelCatalogVersionTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelExtraComponentTest,testAddExtraComponentToCatalog,Long Statement,The length of the statement "CompletableFuture<Either<List<CompletionItem>`CompletionList>> completions=getCompletionFor(camelLanguageServer`new Position(0`11));" is 132.,38,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelExtraComponentTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelExtraComponentTest,testAddExtraComponentToCatalog,Magic Number,The method contains a magic number: 11,38,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelExtraComponentTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelExtraComponentTest,testUpdateOfConfig,Long Statement,The length of the statement "CompletableFuture<Either<List<CompletionItem>`CompletionList>> completions=getCompletionFor(camelLanguageServer`new Position(0`11));" is 132.,45,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelExtraComponentTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelExtraComponentTest,testUpdateOfConfig,Long Statement,The length of the statement "String component="{\n" + " \"component\": {\n" + " \"kind\": \"component\"`\n"+ " \"scheme\": \"aSecondcomponent\"`\n"+ " \"syntax\": \"aSecondcomponent:withsyntax\"`\n"+ " \"title\": \"A Second Component\"`\n"+ " \"description\": \"Description of my second component.\"`\n"+ " \"label\": \"\"`\n"+ " \"deprecated\": false`\n"+ " \"deprecationNote\": \"\"`\n"+ " \"async\": false`\n"+ " \"consumerOnly\": true`\n"+ " \"producerOnly\": false`\n"+ " \"lenientProperties\": false`\n"+ " \"javaType\": \"org.test.ASecondComponent\"`\n"+ " \"firstVersion\": \"1.0.0\"`\n"+ " \"groupId\": \"org.test\"`\n"+ " \"artifactId\": \"camel-asecondcomponent\"`\n"+ " \"version\": \"3.0.0-RC3\"\n"+ " }`\n"+ " \"componentProperties\": {\n"+ " }`\n"+ " \"properties\": {\n"+ " }\n"+ "}";" is 771.,45,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelExtraComponentTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelExtraComponentTest,testUpdateOfConfig,Long Statement,The length of the statement "assertThat(getCompletionFor(camelLanguageServer`new Position(0`11)).get().getLeft()).contains(createExpectedExtraComponentCompletionItem(0`11`0`11`"aSecondcomponent:withsyntax"`"Description of my second component."));" is 217.,45,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelExtraComponentTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelExtraComponentTest,testUpdateOfConfig,Magic Number,The method contains a magic number: 11,45,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelExtraComponentTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelExtraComponentTest,testUpdateOfConfig,Magic Number,The method contains a magic number: 11,45,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelExtraComponentTest.java
