Project,Package,Class,Method,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
camel-language-server,com.github.cameltooling.lsp.internal,AbstractLanguageServer,startServer,5,1,0,58,0,,
camel-language-server,com.github.cameltooling.lsp.internal,AbstractLanguageServer,parentProcessStillRunning,30,4,0,69,0,,
camel-language-server,com.github.cameltooling.lsp.internal,AbstractLanguageServer,stopServer,9,2,0,106,0,,
camel-language-server,com.github.cameltooling.lsp.internal,AbstractLanguageServer,shutdownServer,4,1,0,118,0,,
camel-language-server,com.github.cameltooling.lsp.internal,AbstractLanguageServer,getParentProcessId,3,1,0,126,0,,
camel-language-server,com.github.cameltooling.lsp.internal,AbstractLanguageServer,setParentProcessId,4,1,1,135,0,,
camel-language-server,com.github.cameltooling.lsp.internal,AbstractLanguageServer,getTextDocumentService,3,1,0,145,0,,
camel-language-server,com.github.cameltooling.lsp.internal,AbstractLanguageServer,setTextDocumentService,3,1,1,152,0,,
camel-language-server,com.github.cameltooling.lsp.internal,AbstractLanguageServer,getWorkspaceService,3,1,0,159,0,,
camel-language-server,com.github.cameltooling.lsp.internal,AbstractLanguageServer,setWorkspaceService,3,1,1,166,0,,
camel-language-server,com.github.cameltooling.lsp.internal,CamelLanguageServer,CamelLanguageServer,6,1,0,59,0,com.github.cameltooling.lsp.internal.AbstractLanguageServer,com.github.cameltooling.lsp.internal.AbstractLanguageServer; com.github.cameltooling.lsp.internal.CamelLanguageServer
camel-language-server,com.github.cameltooling.lsp.internal,CamelLanguageServer,connect,4,1,1,66,0,,
camel-language-server,com.github.cameltooling.lsp.internal,CamelLanguageServer,exit,4,1,0,72,0,,
camel-language-server,com.github.cameltooling.lsp.internal,CamelLanguageServer,initialize,14,2,1,78,0,com.github.cameltooling.lsp.internal.AbstractLanguageServer,com.github.cameltooling.lsp.internal.AbstractLanguageServer; com.github.cameltooling.lsp.internal.settings.SettingsManager; com.github.cameltooling.lsp.internal.CamelLanguageServer
camel-language-server,com.github.cameltooling.lsp.internal,CamelLanguageServer,initialized,6,2,1,95,0,com.github.cameltooling.lsp.internal.telemetry.TelemetryManager,com.github.cameltooling.lsp.internal.telemetry.TelemetryManager
camel-language-server,com.github.cameltooling.lsp.internal,CamelLanguageServer,createServerCapabilities,12,1,0,103,0,,
