Project,Package,Class,Method,Smell,Description,File
camel-language-server,com.github.cameltooling.lsp.internal,CamelCatalogRuntimeProviderTest,testNoValueSpecifiedReturnsDefaultRuntimeProvider,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelCatalogRuntimeProviderTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelCatalogRuntimeProviderTest,testDefaultValueSpecifiedReturnsDefaultRuntimeProvider,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelCatalogRuntimeProviderTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelCatalogRuntimeProviderTest,testInvalidValueSpecifiedFallsBackToDefaultRuntimeProvider,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelCatalogRuntimeProviderTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelCatalogRuntimeProviderTest,testSpringBootValueSpecifiedReturnsSpringBootRuntimeProvider,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelCatalogRuntimeProviderTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelCatalogRuntimeProviderTest,testQuarkusValueSpecifiedReturnsQuarkusRuntimeProvider,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelCatalogRuntimeProviderTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelCatalogVersionTest,testCompletionWithAnotherCatalog2xVersionLoaded,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelCatalogVersionTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelCatalogVersionTest,testCompletionWithCatalog3xVersionLoaded,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelCatalogVersionTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelCatalogVersionTest,testCompletionFallbackWithInvalidVersion,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelCatalogVersionTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelCatalogVersionTest,testCompletionFallbackWithNullVersion,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelCatalogVersionTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelCatalogVersionTest,testProductizedCatalog2x,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelCatalogVersionTest.java
