Project,Package,Class,Smell,Description,File
camel-language-server,com.github.cameltooling.lsp.internal,CamelLanguageServer,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.github.cameltooling.lsp.internal.settings.SettingsManager; com.github.cameltooling.lsp.internal.telemetry.TelemetryManager,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\CamelLanguageServer.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelLanguageServer,Law of Demeter violation,The tool detected the smell in this method (initialize) because the method voilates the law of Demeter. The long chain of method invocations is : com.github.cameltooling.lsp.internal.CamelLanguageServer.getSettingsManager; com.github.cameltooling.lsp.internal.settings.SettingsManager.apply,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\CamelLanguageServer.java
camel-language-server,com.github.cameltooling.lsp.internal,Runner,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.github.cameltooling.lsp.internal.websocket.WebSocketRunner; com.github.cameltooling.lsp.internal.CamelLanguageServer,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\Runner.java
camel-language-server,com.github.cameltooling.lsp.internal,AbstractCamelLanguageServerTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.github.cameltooling.lsp.internal.CamelLanguageServer,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\AbstractCamelLanguageServerTest.java
camel-language-server,com.github.cameltooling.lsp.internal,AbstractCamelLanguageServerTest,Law of Demeter violation,The tool detected the smell in this method (initializeLanguageServer) because the method voilates the law of Demeter. The long chain of method invocations is : com.github.cameltooling.lsp.internal.AbstractLanguageServer.getTextDocumentService; com.github.cameltooling.lsp.internal.CamelTextDocumentService.didOpen,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\AbstractCamelLanguageServerTest.java
camel-language-server,com.github.cameltooling.lsp.internal,AbstractCamelLanguageServerTest,Law of Demeter violation,The tool detected the smell in this method (getFoldingRanges) because the method voilates the law of Demeter. The long chain of method invocations is : com.github.cameltooling.lsp.internal.AbstractLanguageServer.getTextDocumentService; com.github.cameltooling.lsp.internal.CamelTextDocumentService.foldingRange,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\AbstractCamelLanguageServerTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelCatalogRuntimeProviderTest,Law of Demeter violation,The tool detected the smell in this method (testRuntimeProviderWithProvidedValue) because the method voilates the law of Demeter. The long chain of method invocations is : com.github.cameltooling.lsp.internal.AbstractLanguageServer.getTextDocumentService; com.github.cameltooling.lsp.internal.CamelTextDocumentService.getCamelCatalog,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelCatalogRuntimeProviderTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelCatalogVersionTest,Law of Demeter violation,The tool detected the smell in this method (testUpdateOfConfig) because the method voilates the law of Demeter. The long chain of method invocations is : com.github.cameltooling.lsp.internal.AbstractLanguageServer.getTextDocumentService; com.github.cameltooling.lsp.internal.CamelTextDocumentService.getCamelCatalog,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelCatalogVersionTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelCatalogVersionTest,Law of Demeter violation,The tool detected the smell in this method (checkLoadedCamelCatalogVersion) because the method voilates the law of Demeter. The long chain of method invocations is : com.github.cameltooling.lsp.internal.AbstractLanguageServer.getTextDocumentService; com.github.cameltooling.lsp.internal.CamelTextDocumentService.getCamelCatalog,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelCatalogVersionTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelLanguageServerTest,Law of Demeter violation,The tool detected the smell in this method (testProvideCompletionForApplicationProperties) because the method voilates the law of Demeter. The long chain of method invocations is : com.github.cameltooling.lsp.internal.AbstractLanguageServer.getTextDocumentService; com.github.cameltooling.lsp.internal.CamelTextDocumentService.getCamelCatalog,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelLanguageServerTest.java
