Project,Package,Class,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-In,Fan-Out,File,Line no
camel-language-server,com.github.cameltooling.lsp.internal,AbstractLanguageServer,7,0,10,4,130,14,1,0,0.3,0,1,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\AbstractLanguageServer.java,25
camel-language-server,com.github.cameltooling.lsp.internal,AbstractLanguageServer.CamelServerRunnable,0,0,0,0,17,0,0,0,-1.0,0,0,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\AbstractLanguageServer.java,32
camel-language-server,com.github.cameltooling.lsp.internal,CamelLanguageServer,5,1,14,13,86,16,0,1,0.5,65,3,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\CamelLanguageServer.java,45
camel-language-server,com.github.cameltooling.lsp.internal,CamelTextDocumentService,5,0,30,27,211,47,0,0,0.0,9,5,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\CamelTextDocumentService.java,95
camel-language-server,com.github.cameltooling.lsp.internal,CamelWorkspaceService,2,0,4,4,23,4,0,0,0.0,0,1,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\CamelWorkspaceService.java,36
camel-language-server,com.github.cameltooling.lsp.internal,Runner,8,0,5,1,63,11,0,0,0.0,3,2,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\Runner.java,28
camel-language-server,com.github.cameltooling.lsp.internal,AbstractCamelLanguageServerTest,10,0,30,3,185,33,5,0,0.26666666666666666,0,1,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\AbstractCamelLanguageServerTest.java,72
camel-language-server,com.github.cameltooling.lsp.internal,AbstractCamelLanguageServerTest.DummyLanguageClient,0,0,0,0,15,0,0,0,-1.0,0,0,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\AbstractCamelLanguageServerTest.java,121
camel-language-server,com.github.cameltooling.lsp.internal,CamelCatalogRuntimeProviderTest,1,0,8,0,38,8,0,1,0.0,0,3,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelCatalogRuntimeProviderTest.java,41
camel-language-server,com.github.cameltooling.lsp.internal,CamelCatalogVersionTest,1,0,14,0,67,14,0,1,0.0,0,2,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelCatalogVersionTest.java,37
camel-language-server,com.github.cameltooling.lsp.internal,CamelExtraComponentTest,0,0,5,0,30,5,0,1,-1.0,0,2,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelExtraComponentTest.java,36
camel-language-server,com.github.cameltooling.lsp.internal,CamelLanguageServerRobustnessTest,0,0,1,0,5,1,0,0,-1.0,0,0,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelLanguageServerRobustnessTest.java,21
